campaign,publisher,date,installs,d90_arpu,d90_arpu_pred
736523,1616,2023-07-10,1,0.3695717828828312,0.8974033001149275
736523,1682,2023-06-12,1,0.2012429999999998,1.3329907469965339
736523,1682,2023-06-17,1,2.081341,1.360053845335619
736523,1682,2023-06-19,1,0.366666,1.3918942866167898
736523,1682,2023-06-24,1,0.8272850175402793,1.8803302735175362
736523,1682,2023-07-03,1,0.359986,1.0072155295536964
736523,1682,2023-07-07,1,0.589015,0.7491119897128157
736523,1698,2023-06-08,6,0.4345273333333332,1.7264369985906103
736523,1698,2023-06-09,5,1.3190412,1.7994044172029926
736523,1698,2023-06-10,5,1.03614,1.8041264729672735
736523,1698,2023-06-11,5,2.2281604,1.7859408670037482
736523,1698,2023-06-12,4,0.946951,1.6970213206304825
736523,1698,2023-06-13,12,0.9512238730416664,1.7586854592136227
736523,1698,2023-06-14,10,4.060919989708948,1.7857504515254319
736523,1698,2023-06-15,15,2.3591142704899903,1.8155369776552168
736523,1698,2023-06-16,7,3.999831428571429,1.7644067439914148
736523,1698,2023-06-17,15,1.070728450985823,1.7613285914872037
736523,1698,2023-06-18,11,1.8562387272727277,1.7023989155786106
736523,1698,2023-06-19,4,8.242778799316415,1.6831039691099599
736523,1698,2023-06-20,5,0.5331883999999999,1.61497892151655
736523,1698,2023-06-21,12,0.6097809825227662,1.7176707143655994
736523,1698,2023-06-22,2,0.4894605,1.5797509028977985
736523,1698,2023-06-23,1,0.493612,1.748832065285818
736523,1698,2023-06-24,7,2.498947114322912,2.193008619860877
736523,1698,2023-06-25,4,0.5822269999999999,1.3684957316224458
736523,1698,2023-06-26,9,1.6802453578603822,1.3934269869745806
736523,1698,2023-06-27,7,1.2069728571428573,1.2734664674193368
736523,1698,2023-06-28,4,1.517361,1.3194906287531911
736523,1698,2023-06-29,5,0.6222878,1.2479210194497696
736523,1698,2023-06-30,5,0.7674189108480916,1.3617436884456555
736523,1698,2023-07-01,9,2.095400248576541,1.4322364066192965
736523,1698,2023-07-02,9,0.8327697777777778,1.229954636134885
736523,1698,2023-07-03,3,0.9530536666666666,1.2380008366078286
736523,1698,2023-07-04,5,0.7672117188631414,1.103403988694371
736523,1698,2023-07-05,11,0.8449025454545454,1.1822296042136278
736523,1698,2023-07-06,8,0.6081495633106594,1.0619282176736164
736523,1698,2023-07-07,11,1.83934571350164,1.0905530701244377
736523,1698,2023-07-08,16,1.803188608469326,1.1738866996975805
736523,1698,2023-07-09,11,1.2178770421118323,0.9756930680440989
736523,1698,2023-07-10,5,0.6625136230332969,0.9111132016596543
736523,1703,2023-06-08,1,0.094144,1.2946317675468526
736523,1867,2023-06-08,1,0.24219,1.8602885323271259
736523,1867,2023-06-09,6,1.7282853333333332,1.7098419240594351
736523,1867,2023-06-10,2,1.739123,1.753039139045966
736523,1867,2023-06-11,1,0.948512,2.020640614855993
736523,1867,2023-06-12,1,0.127378,1.8358282491756635
736523,1867,2023-06-14,1,0.046197,1.888156500843505
736523,1867,2023-06-17,1,0.953707,1.8866467569464493
736523,1867,2023-06-20,1,0.30373,1.766793862915282
736523,1867,2023-06-22,1,5.694883,1.7177398008337952
736523,1867,2023-06-28,1,0.179424,1.4825382872682433
736523,1867,2023-07-04,1,1.774007,1.2031286677212918
